term,definition
machine learning,"Automatic or semi-automatic updating of equations or parameters using algorithms; automated parameter (""curve"" or ""response surface"") fitting."
machine learning,A method to train a machine(any kind) in a human manner to achieve the goal of copying human behavior or even better than regular human being.
machine learning,Pattern recognition through a set of constantly modifying rules 
machine learning,Machine learning is a predictive computational method based on training a model (the ML algorithm) on a set of data followed by an optimization process whereby the model is tested with test data to increase accuracy of the prediction.
machine learning,Machine learning is the development of functions made on patterns found in data. 
machine learning,"Machine learning is the application of algorithms to sort and categorize data through supervised and unsupervised learning. It's a way to comb through large data sets very quickly, to reduce human labor.  "
machine learning,"A process where algorithms, paired with data, can be trained to perform a useful function on that data"
machine learning,Algorithms that can be trained
machine learning,Machine Learning describes algorithms that can find pattern in sets of data.
machine learning,Introducing an algorithm to a machine 
machine learning,It's a way of training computer systems to understand and recognize patterns in the real world. 
machine learning,machine process of aggregating information in order to generate/synthesize new insights on the information
machine learning,training a computer/machine/program to complete certain tasks automatically through an algorithm and having the computer learn to get better at recognizing such tasks and how to react/solve those situations
machine learning,A subset/practice of Artificial Intelligence which improves learning based on ingesting data. 
machine learning,Computers making decisions and learning through algorithms and trained on data/human inputs.
machine learning,"The ability for a computer to identify something based on patterns or groups it's been trained on, whether visual or language-based."
machine learning,Creating a model to teach an algorithm to recognize patterns
machine learning,"Machine Learning is a set of programmable computer processes used to recognize and classify patterns in various kinds of data - images, numbers, text, etc. "
machine learning,Machine training - Train a computer about object criteria
machine learning,"a process whereby a program can increase in accuracy on a given a task, when provided with a set of examples and performance measures. "
machine learning,it is training an algorithm on how to make predictions 
machine learning," let machine read a lot of data, and conclude a program by itself, then when encounter with new data, the machine can automatically deal with it. Some are supervised learning, some are unsupervised learning."
machine learning,Machine learning is the skill of machines to take decisions/make statements/see things which human taught them to do.
machine learning,Translating human language to machine language.
machine learning,"It creation of an artificial intelligent application, that reduces errors (most of the times) and makes tedious tasks easier for us. "
machine learning,The process of in which a machine is able to adapt and learn based on the data and algorithm they are programmed with
machine learning,Applying a model to a large amount of data to make a meaningful pattern and output from it
machine learning,using algorithms and datasets to teach a machine to recognize a set of patterns so that it can recognize similar patterns with other data
machine learning,using algorithms and datasets to teach a machine to recognize a set of patterns so that it can recognize similar patterns with other data
machine learning,it is an algorithm that could teach itself by the data given by people.
machine learning,Statistics + Computer
machine learning,"Using algorithm (filtering system), it distinguishes certain images and categorize them."
machine learning,"Machine learning is a new technology to reduce work amount for human in the real world. It could be trained by human and run under computer's logic. In the era of weak AI, it can finish a single task and also can do multi-task at the same time with the development of the machine learning."
machine learning,"Machine Learning is a method of computation that allows a process to make inferences from known historical data. Machine learning is unique in the way that the computer is trained on an ""input"" and a definition of ""success"" but it has flexibility in defining how it gets to a ""successful"" solution/output."
machine learning,its the training of artificial intelligence using masses of data and algorithms that process this data
machine learning,Using past data points and outcomes to predict future ones
machine learning,algorithms calculating things you are likely to be interested in based on your history
machine learning,Learning new information via algorithmic processing of data
machine learning,"Using digital, algorithmic means to explore, collect, or define data"
machine learning,Predictive models which help make intelligent/useful suggestions. 
machine learning,"Computers using algorithms to find commonalities in the data it's being trained on, and learn to identify these commonalities in new data that it encounters. "
machine learning,We human beings teaching the machine how to do something through statistic data experiments so that the machine has the skill to solve the problems automatically.
machine learning,"smart classification of data for analysis, organization and future predictions"
machine learning,"A type of prediction or analysis done by a machine based on a type of statistical modeling that has been generated (learned) through the (self-)analysis of previous existing set of data, mainly a big data source to increase predictability"
machine learning,"Using data to train models that ""human experience"" usually can do. "
machine learning,The use of algorithmic techniques for facilitating model selection in service of extracting target features from descriptive features in datasets.
machine learning,A set of routines which assess the data of a sample and then try to make predictions on the data of the general population
machine learning,"When the computer learns from itself and the code it is given, eliminating the need for hardcoding everything"
machine learning,"A programm taking a sum of (mostly human created/curated) inputs and finding it's own patterns between individual samples, ultimately coming up with something that might or might not make sense to us, but generally comes from a different ""thought-process"" than we humans have."
machine learning,"Giving an artificial object agency to adapt and evolve to make better decisions over time, in order to achieve efficiency, safety, and higher quality"
machine learning,the pursuit in which an inorganic entity can adapt itself to certain goals and improvise pathways by which to attain them.
machine learning,The mathematical processes that occur in software which allow computer programs to change behavior and outputs based on calibration of past experiences/inputs. 
machine learning,"The ubiquitous presence of technology that is ""smart"" and ""intuitive"" is something that starts defining ML for me.  I see it as an aid and a tool - much like how the invention of wheel changed life as our ancestors knew it; machine learning is changing the life as we know it. "
machine learning,"Machine learning is a data-base study.  By providing computers and AI with a large amount of data, people can use some special algorithms to achieve prediction."
machine learning,Machine do the work for me.
machine learning,"The process of teaching a computer over iteration how to ""think""/process "
machine learning,Machine learning is using quantitative data classification and analysis to help people better making descions.
machine learning,Training machine to understand human's cognition.
machine learning,the use of algorithms to inform a program of its next action or to manipulate data for a single purpose
machine learning,machine learning is the process of analyzing data in order to synthesize a result or prediction. 
machine learning,training to predict 
machine learning,synthetically adjusting future behaviors based on past mistakes to reach a certain desired outcome
machine learning,A series of algorithmic procedures that process certain input and produce certain output 
machine learning,The process of artificial programs' iteration on better understanding/predicting a defined domain
machine learning,Some results that came out from the machine with the input data and ordered algorism.
machine learning,the ability for the machine to infer information / meaning from the data on its own 
machine learning,Using algorithms to have a machine recognize patterns in a data set
machine learning,finding patterns based on large amount of data
machine learning,It could be a form of information or knowledge that have been trained by human intelligence.
machine learning,"Machine Learning is creating patterns for machines (AI), which allow them to predict user behavior and improve the initial model they use"
machine learning,"Humans are believed to be born with a ""natural intelligence"" if you will. It led them to build devices that were theorized to act on their behalf. These devices got really sophisticated and eventually were given an intelligence of their own so they could carry out certain functions internally without needing routine check-ins from the outside world. They were made to act as humans, collecting informations, making decisions, and executing them independently. That would be what I call machine learning. "
machine learning,computers/AI can learn from users' experience by algorithms and models
machine learning,A method to generate results from applying different statistical computations based on a certain dataset
machine learning,Using data sets to find patterns and make future predictions
machine learning,use the past information or data to train the machine to figure all the future possibility
machine learning,Teaching machines to recognize patterns so that they can make future predictions and answer questions based on previous data 
machine learning,"The computer in taking a great amount of data resources and analyze to find the trend of it. At the end, the computer will be able to predict or recognize certain content based on the model it had been trained."
machine learning,An algorithm that provides information using and aggregated set of data.
machine learning,A cycle of collecting data and identifying what was inputted.
machine learning,Training the machine to do certain tasks or to predict the next move through introducing repeated patterns. 
machine learning,"Machine learning is the process of using neural network to let  algorithm learning from data and provide output for the target goal. It includes the process of data collection, labeling, model training, parameter adjustment and deployment. "
machine learning,technology that has been trained to predict human (?) behavior
machine learning,"Models written in code and trained by human to operate a wide range of tasks from pushing notifications, facial recognition, predicting trends/weather, etc. Tasks normally done by human are now easily and systematically done by these AI models to improve efficiency and user experience."
machine learning,"Machine learning is enabling the machine by feeding data to imitate human behavior intelligently. Once the data is collected and model is trained, machine has the capability to predict the behaviors and patterns of humans. It can be through supervised and unsupervised learning"
machine learning,"In my understanding, Machine Learning happens when a 'machine' processes a huge amount of data and thereby detects patterns within that data. Based on those patterns, the machine can then predict, recommend or answer certain questions or prompts.  "
machine learning,"machine learning is a tool where humans can train a program (or model) to answer basic questions (that a 6 year old would be able to answer) about what we input into it (usually a dataset of some sort). The program is able to get ""smarter"" and more accurate over time with more training and can also make predictions and/or generate new content based on the training of data it has gone through. "
